Division,season,n,skew_exante,p_fav_dv
EC,2017,559,0.199928257955539,0.49102768133472185
EC,2018,556,0.22888522683462034,0.4781320263138294
EC,2019,561,0.2730099861670496,0.4620553168554616
EC,2020,282,0.2696462087395001,0.4610456117697429
EC,2021,546,0.21617925814684028,0.4933938453075531
EC,2022,555,0.1960620017583045,0.5078115177652449
EC,2023,579,0.2173776663527253,0.49236567597159486
EC,2024,427,0.24424087962277202,0.4807638558854954
F1,2005,380,0.28594402839259264,0.4725504378503141
F1,2006,379,0.2882916776771789,0.47673287522173163
F1,2007,380,0.2693243594476219,0.47158642534656486
F1,2008,381,0.25547378256900993,0.4801063874268054
F1,2009,377,0.24164879808846884,0.49573482524545665
F1,2010,381,0.24851994288625764,0.4942122072484871
F1,2011,382,0.22226243255542966,0.49484191598342786
F1,2012,380,0.2476351604984792,0.4951913663570424
F1,2013,379,0.22234101819619395,0.5044512194869266
F1,2014,380,0.22916806106484539,0.5076768018805907
F1,2015,381,0.2545090507306526,0.49733167067736195
F1,2016,377,0.2512212611172698,0.49825247618952634
F1,2017,382,0.21575056704213327,0.5277158227901794
F1,2018,369,0.2089466371017032,0.5284343773836371
F1,2019,388,0.2597207987962774,0.5040994121773119
F1,2020,260,0.23850270231283482,0.5008991609166377
F1,2021,400,0.2308747048993049,0.5163108936493797
F1,2022,352,0.1917271491099257,0.5231720791789922
F1,2023,373,0.14455508813388027,0.5291246589539237
F1,2024,288,0.19518860905267743,0.5153199945274473
F1,2025,170,0.09664279881630301,0.5474985615209077
F2,2005,380,0.30109771363182053,0.4536934740563723
F2,2006,390,0.29838850794026195,0.46293977256120594
F2,2007,355,0.24707307711743592,0.47915762496771774
F2,2008,352,0.2909847260390621,0.464288335191253
F2,2009,387,0.2954721979967759,0.45943940067225525
F2,2010,381,0.287705517092709,0.4520649613635256
F2,2011,373,0.2756913665444175,0.4595518058044538
F2,2012,389,0.2751426202620852,0.45931955205667685
F2,2013,371,0.25712990520482265,0.4707245296319989
F2,2014,380,0.28314132161503447,0.46517921618345265
F2,2015,390,0.3119785055505282,0.4557509187886593
F2,2016,380,0.3376853565663313,0.44891481515963616
F2,2017,379,0.30160083796471054,0.46365671382074075
F2,2018,379,0.2795911241215931,0.473998859766389
F2,2019,382,0.33541857370032796,0.4562907228229712
F2,2020,260,0.38980402074967363,0.4328666953598709
F2,2021,400,0.34483460185957404,0.4501169337243073
F2,2022,360,0.3543817186036535,0.4441365051013266
F2,2023,399,0.3054014156721543,0.4562226936113239
F2,2024,333,0.2941825672819683,0.46010711979744884
F2,2025,162,0.24886009719864716,0.48807845397349947
FIN,2012,198,0.21968634801551531,0.4983591173905551
FIN,2013,198,0.2459947701441305,0.4863735144234149
FIN,2014,198,0.2586253436302881,0.4877169493678451
FIN,2015,200,0.23440366600207374,0.49718108359459706
FIN,2016,200,0.26368242436096545,0.4888482006839746
FIN,2017,200,0.2176401919093103,0.5212916749869076
FIN,2018,200,0.25194985888199023,0.5044416053057309
FIN,2019,169,0.27593724759669963,0.47646621956777707
FIN,2021,164,0.19245651988772383,0.5223085034173568
FIN,2022,170,0.18224105328375756,0.5139044325964123
FIN,2023,167,0.26396183219464797,0.47212917216400463
FIN,2024,156,0.1388855657986975,0.519430882324861
G1,2006,241,0.17938032716549113,0.5477738396121178
G1,2007,228,0.16258032505399453,0.5458214257204264
G1,2008,246,0.18417676570602687,0.5441133039163394
G1,2009,239,0.19499093365206363,0.5324838507438078
G1,2010,239,0.14093219927337083,0.542862375488013
G1,2013,269,0.20943162156273548,0.5303748996497027
G1,2014,274,0.1206216063644418,0.5543426820966944
G1,2015,262,0.10659686238739952,0.5667968707480945
G1,2016,213,0.16304480024516335,0.5621290893654427
G1,2017,256,0.18889031748423657,0.5598340378212852
G1,2018,230,0.17915031482354277,0.5625466122154282
G1,2019,231,0.1721591770196679,0.5606462591179283
G1,2020,214,0.18615196224253766,0.5490961480005454
G1,2021,255,0.24428202386111664,0.5259863278726111
I1,2005,302,0.20894091584814464,0.5134225439126775
I1,2006,387,0.2382514325587341,0.5181840252165408
I1,2007,368,0.2140199058118293,0.5193540479503997
I1,2008,382,0.20901727156016592,0.5126628365237617
I1,2009,377,0.20156082514763052,0.5090622857195255
I1,2010,380,0.20615191034655037,0.5073957582938274
I1,2011,371,0.19953267003774824,0.5170880405708402
I1,2012,400,0.1951837785186646,0.513659540328849
I1,2013,370,0.17909426364744951,0.5238982163185789
I1,2014,370,0.16948913056053283,0.5265842430868057
I1,2015,389,0.18913526919012133,0.519838976327831
I1,2016,389,0.166481148492727,0.5375633492778503
I1,2017,390,0.0834685944078862,0.5770847726570011
I1,2018,382,0.1315791662165999,0.5611930997607231
I1,2019,359,0.18295139094006085,0.5385551491557319
