,ret_fav
2018-03-16,0.19009248881485638
2018-03-20,0.23997378773669792
2018-03-31,0.23306464756040385
2018-04-07,0.17638192275224945
2018-04-11,0.14930981664146448
2018-04-15,0.20495053769260863
2018-04-21,0.1974662170877097
2018-04-24,0.1734862845686173
2018-04-29,0.2464138998995443
2018-05-05,0.17381657453512547
2018-05-12,0.11394720298495016
2018-05-19,0.16673695069361805
2018-06-05,0.13917999716627752
2018-07-10,0.18034393156000003
2018-07-28,0.20508111392344758
2018-08-06,0.14725920383959587
2018-08-15,0.1760714381706329
2018-08-19,0.2046134313932461
2018-08-25,0.24485925265064395
2018-09-01,0.2063248939202208
2018-09-08,0.18872679212399399
2018-09-16,0.13502666762119955
2018-09-22,0.12215915116136641
2018-09-25,0.1958048937120553
2018-09-30,0.16398258184919476
2018-10-06,0.17592405182238693
2018-10-13,0.2032939901036788
2018-10-21,0.23446179775972262
2018-10-27,0.21861160068809898
2018-10-31,0.2614514818411143
2018-11-04,0.24875887582012005
2018-11-11,0.232146280864788
2018-11-24,0.2160881324647628
2018-11-30,0.17082511623993565
2018-12-07,0.1754547074582463
2018-12-11,0.16768846523482234
2018-12-21,0.27602377106171155
2018-12-26,0.2665378091856952
2019-01-05,0.287922626650467
2019-01-12,0.2835493278610813
2019-01-20,0.28660733030307767
2019-01-30,0.36793533969889486
2019-02-06,0.35221638944444544
2019-02-11,0.34424523087180126
2019-02-17,0.26747882341300105
2019-02-24,0.14767659145684364
2019-03-02,0.06837185359458461
2019-03-09,0.07865120741252485
2019-03-15,0.06843348149219924
2019-03-22,0.12767499568802645
2019-03-30,0.1907648995739597
2019-04-06,0.2185879141022689
2019-04-10,0.25148813715814494
2019-04-14,0.2914149652812305
2019-04-20,0.34831189250921224
2019-04-26,0.3681102005958735
2019-04-29,0.3701570651605972
2019-05-05,0.2888992324125262
2019-05-15,0.2459808073787614
2019-05-24,0.1817613832214483
2019-06-10,0.12376026423858079
2019-07-04,0.18419891978978775
2019-07-21,0.21291735150471044
2019-08-03,0.20397791733075132
2019-08-13,0.28594356992339554
2019-08-18,0.26427152883720806
2019-08-24,0.22198122069762172
2019-08-31,0.2333874864500502
2019-09-07,0.2590909038474218
2019-09-14,0.221349598201893
2019-09-21,0.2563471542016134
2019-09-23,0.302966554516569
2019-09-28,0.2534843543304949
2019-10-04,0.31608853785410496
2019-10-08,0.32569619804380084
2019-10-19,0.2893636964431324
2019-10-26,0.2696577704757665
2019-10-29,0.21131050658300268
2019-11-03,0.15902018949005053
2019-11-10,0.18312824805561764
2019-11-23,0.14623838249655627
2019-11-30,0.18048130838424128
2019-12-05,0.2429598441470211
2019-12-13,0.21872043041053263
2019-12-20,0.26842477790531083
2019-12-27,0.24876623921803176
2020-01-04,0.2167868293799693
2020-01-14,0.2789435146714553
2020-01-25,0.26872820277299053
2020-02-01,0.27035052511842944
2020-02-08,0.24913800707213887
2020-02-14,0.1539485730178044
2020-02-21,0.20106882639741133
2020-02-25,0.2591332845691381
2020-03-03,0.23832017054066487
2020-03-10,0.32163498787410183
2020-05-09,0.2974630157336511
2020-06-12,0.29056738154944156
2020-06-20,0.32684251511002604
2020-06-28,0.2958997280026228
2020-07-05,0.2889229365352916
2020-07-13,0.22133848148559906
2020-07-19,0.23097195891840236
2020-07-30,0.2383261281186937
2020-08-14,0.2350421443142221
2020-08-26,0.26743715455370565
2020-09-11,0.18583788206082272
2020-09-19,0.19197284172783052
2020-09-23,0.19856214752593654
2020-09-27,0.1705526834691896
2020-10-04,0.2398350166676331
2020-10-17,0.201750196728527
2020-10-20,0.17558932944421807
2020-10-25,0.21131343770305555
2020-10-31,0.24118788996134544
2020-11-07,0.27180831852670634
2020-11-20,0.3328607301422883
2020-11-22,0.35461093709096403
2020-11-29,0.31873475470753887
2020-12-05,0.3015060574569491
2020-12-12,0.24949702081302236
2020-12-15,0.22260978275027568
2020-12-19,0.22389263047832061
2020-12-26,0.25800586360064665
2021-01-03,0.2688412637815736
2021-01-09,0.2862091150331849
2021-01-17,0.2852221476509853
2021-01-24,0.26831424579554947
2021-01-30,0.2966430963011623
2021-02-05,0.3288817808167031
2021-02-09,0.3133773943143596
2021-02-14,0.32353923239564714
2021-02-21,0.29808822834989446
2021-02-27,0.2679307816346393
2021-03-03,0.24080137220024705
2021-03-07,0.21813923442051497
2021-03-13,0.2484464145149503
2021-03-19,0.22876772896014638
2021-03-23,0.27010498654181214
2021-04-04,0.26831202839546636
2021-04-10,0.21994322896745847
2021-04-15,0.21441453707187105
2021-04-18,0.22338861128687343
2021-04-24,0.22640490863724946
